rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
1,2327,國巨,303.5,2.44,6.49,14.72,299.07,65.3,6,22.8,22704224.0,2030534.0,56494442.0,1768105.0,True,True,58.98,84.92,72.47,通過,通過
2,2492,華新科,136.0,2.06,5.84,6.37,26.83,57.4,7,11.1,-241150.0,101000.0,1086657.0,109000.0,True,True,51.66,78.33,65.53,通過,通過
3,3406,玉晶光,481.0,2.39,5.6,9.75,7.86,66.7,4,14.3,460641.0,4000.0,719131.0,-2146.0,True,True,41.85,80.15,61.77,通過,通過
4,3090,日電貿,103.5,2.02,3.5,10.02,12.42,62.9,4,34.1,708057.0,-24455.0,4415957.0,-55248.0,True,True,38.94,82.4,61.54,通過,通過
5,6706,惠特,141.5,1.86,1.07,14.71,21.41,62.2,4,-59.6,1216570.0,0.0,3222797.0,-505.0,True,True,41.84,76.99,60.12,通過,通過
6,3008,大立光,2430.0,1.76,5.19,5.9,33.05,61.2,5,10.8,420671.0,-21218.0,924336.0,-30318.0,True,True,39.68,75.98,58.56,通過,通過
7,3702,大聯大,96.6,1.76,5.57,14.08,24.96,71.3,6,28.6,4426993.0,-3841000.0,13219728.0,-5172000.0,True,True,55.24,59.48,57.44,通過,通過
8,2329,華泰,58.6,2.25,8.32,9.57,25.11,58.7,2,10.1,7123951.0,-43000.0,6043285.0,-95000.0,True,True,34.22,71.46,53.58,通過,通過
9,1590,亞德客-KY,1095.0,1.84,-1.79,6.53,23.77,58.3,1,18.1,36453.0,-6169.0,199966.0,-33338.0,True,True,13.82,80.93,48.72,通過,通過
10,4739,康普,88.5,1.86,4.61,12.32,6.04,64.1,1,103.6,510450.0,-4000.0,517449.0,-17000.0,True,True,27.76,64.76,47.0,通過,通過
11,2495,普安,39.4,1.54,6.92,16.94,5.57,64.9,2,61.0,2221571.0,-25000.0,1133672.0,-54000.0,True,True,39.92,45.39,42.76,通過,通過
12,2449,京元電子,295.0,2.02,6.31,2.67,116.44,53.7,1,36.1,-2567394.0,1197446.0,-2798617.0,-2797612.0,True,True,17.89,51.99,35.62,通過,通過
13,1727,中華化,58.4,2.64,4.85,13.92,12.37,65.6,0,53.2,-602673.0,-10000.0,407327.0,-22000.0,False,True,0.0,55.84,29.04,未通過,通過
14,6691,洋基工程,624.0,1.68,-0.95,2.81,7.83,56.6,0,112.7,-12779.0,-17000.0,480669.0,-35893.0,False,True,0.0,54.3,28.24,未通過,通過
15,3305,昇貿,119.0,1.88,2.15,12.36,12.86,62.4,0,72.7,-1335046.0,0.0,-154047.0,0.0,False,True,0.0,50.91,26.47,未通過,通過
16,9904,寶成,28.0,2.17,-1.41,-3.43,6.16,37.0,1,-11.1,-6565896.0,263722.0,-16641229.0,53440.0,False,True,0.0,48.24,25.08,未通過,通過
17,4566,時碩工業,71.2,2.83,6.43,21.79,6.11,70.7,0,12.6,-1158000.0,0.0,-75060.0,0.0,False,True,0.0,21.07,10.96,未通過,通過
18,1528,恩德,27.35,0.61,0.55,14.8,4.87,61.8,1,30.9,974701.0,-14000.0,1122766.0,-30000.0,False,False,0.0,0.0,0.0,未通過,未通過
19,1711,永光,42.55,0.75,9.95,21.53,12.56,64.6,1,28.2,409900.0,0.0,4123170.0,26000.0,False,False,0.0,0.0,0.0,未通過,未通過
20,1717,長興,80.7,1.37,0.88,26.49,121.5,72.5,1,5.4,-3862041.0,253512.0,11292396.0,-7536976.0,False,False,0.0,0.0,0.0,未通過,未通過
21,1605,華新,31.6,0.59,-0.16,-0.64,3.6,47.3,1,2.5,-273842.0,25724.0,1761218.0,-72339.0,False,False,0.0,0.0,0.0,未通過,未通過
22,1582,信錦,106.5,1.07,9.57,14.63,11.92,64.0,4,-0.1,1375900.0,269000.0,2551879.0,268436.0,False,False,0.0,0.0,0.0,未通過,未通過
23,1560,中砂,519.0,0.64,0.58,10.65,9.56,63.5,5,31.1,416010.0,-77000.0,1085720.0,-134000.0,False,False,0.0,0.0,0.0,未通過,未通過
24,1309,台達化,23.5,0.72,3.98,24.95,6.27,62.8,0,-8.4,-898500.0,0.0,-3095000.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
25,1402,遠東新,26.45,1.17,-0.75,-2.53,4.52,43.3,1,-3.3,-4185084.0,61812.0,-6669605.0,-142137.0,False,False,0.0,0.0,0.0,未通過,未通過
26,1326,台化,49.95,2.11,9.9,11.26,44.1,63.1,4,21.6,52424110.0,1797000.0,65582840.0,1822000.0,False,False,0.0,0.0,0.0,未通過,未通過
27,1216,統一,72.0,0.95,0.28,1.05,6.07,51.5,0,2.6,-1416529.0,-1103292.0,-4530691.0,-3101292.0,False,False,0.0,0.0,0.0,未通過,未通過
28,1301,台塑,51.4,2.4,9.48,8.95,44.97,62.2,1,1.5,57996624.0,-644113.0,59059130.0,-645113.0,False,False,0.0,0.0,0.0,未通過,未通過
29,1101,台泥,25.25,0.56,-0.59,4.39,6.35,59.6,0,-9.0,-7754750.0,-53000.0,-16663967.0,-221000.0,False,False,0.0,0.0,0.0,未通過,未通過
30,1102,亞泥,35.55,1.0,-0.28,2.21,3.29,56.0,1,-18.1,-3537368.0,610132.0,-10392062.0,352941.0,False,False,0.0,0.0,0.0,未通過,未通過
31,2313,華通,279.0,0.69,-2.45,18.91,189.19,65.2,0,11.1,-9650506.0,-3290000.0,5725450.0,-3221390.0,False,False,0.0,0.0,0.0,未通過,未通過
